item,value
train_sentences,1701
train_tokens,13130
train_changed_tokens,958
train_changed_ratio,0.072963
validation_sentences,212
validation_tokens,1880
validation_changed_tokens,166
validation_changed_ratio,0.088298
previous_validation_mfr_ERR,0.10241
previous_validation_mfr_TP,21
previous_validation_mfr_FP,4
previous_validation_mfr_FN,145
high_confidence_pairs,24
balanced_pairs_for_analysis,717
review_pairs,745
ambiguous_pairs,63
preserve_by_default,35
context_sensitive_tokens,84
