raw,norm,count,raw_total,changed_confidence,raw_confidence,pattern
pa,para,9,12,0.9,0.75,expansion_or_abbreviation_restore
tambien,también,5,5,1.0,1.0,accent_or_diacritic_restore
tuu,tú,5,5,1.0,1.0,other_substitution
qe,que,5,6,0.8333,0.8333,other_substitution
despues,después,5,5,1.0,1.0,accent_or_diacritic_restore
noo,no,5,5,1.0,1.0,other_substitution
sii,sí,4,4,1.0,1.0,other_substitution
cn,con,4,4,1.0,1.0,other_substitution
mia,mía,4,4,1.0,1.0,accent_or_diacritic_restore
jajajaj,ja,4,5,1.0,0.8,shortening_or_deletion
kiero,quiero,4,4,1.0,1.0,other_substitution
siii,sí,3,4,0.75,0.75,repeated_char_reduction
to,toda,3,5,0.6,0.6,expansion_or_abbreviation_restore
jajajajaj,ja,3,3,1.0,1.0,shortening_or_deletion
tio,tío,3,3,1.0,1.0,accent_or_diacritic_restore
ke,que,3,4,0.75,0.75,other_substitution
jajajaa,ja,3,3,1.0,1.0,shortening_or_deletion
aqui,aquí,3,3,1.0,1.0,accent_or_diacritic_restore
peli,película,3,3,1.0,1.0,expansion_or_abbreviation_restore
to,todo,2,5,0.4,0.4,expansion_or_abbreviation_restore
miriam,míriam,2,2,1.0,1.0,accent_or_diacritic_restore
nadaa,nada,2,2,1.0,1.0,other_substitution
buenoo,bueno,2,2,1.0,1.0,other_substitution
esq,es_que,2,2,1.0,1.0,whitespace_change
tendre,tendré,2,2,1.0,1.0,accent_or_diacritic_restore
estoi,estoy,2,2,1.0,1.0,other_substitution
jajajajajaj,ja,2,2,1.0,1.0,shortening_or_deletion
llege,llegue,2,2,1.0,1.0,other_substitution
rie,ríe,2,2,1.0,1.0,accent_or_diacritic_restore
miii,mí,2,2,1.0,1.0,repeated_char_reduction
corazon,corazón,2,2,1.0,1.0,accent_or_diacritic_restore
má,más,2,2,1.0,1.0,other_substitution
dee,de,2,2,1.0,1.0,other_substitution
habra,habrá,2,2,1.0,1.0,accent_or_diacritic_restore
alli,allí,2,2,1.0,1.0,accent_or_diacritic_restore
jajajjaja,ja,2,2,1.0,1.0,shortening_or_deletion
jajaj,ja,2,2,1.0,1.0,shortening_or_deletion
queva,qué_va,2,2,1.0,1.0,whitespace_change
yaa,ya,2,2,1.0,1.0,other_substitution
trayó,tragó,2,2,1.0,1.0,other_substitution
insti,instituto,2,2,1.0,1.0,expansion_or_abbreviation_restore
laa,la,2,2,1.0,1.0,other_substitution
muchisimo,muchísimo,2,2,1.0,1.0,accent_or_diacritic_restore
esque,es_que,2,2,1.0,1.0,whitespace_change
voi,voy,2,2,1.0,1.0,other_substitution
muchoo,mucho,2,2,1.0,1.0,other_substitution
mami,mamá,2,4,1.0,0.5,other_substitution
cafe,café,2,2,1.0,1.0,accent_or_diacritic_restore
estan,están,2,2,1.0,1.0,accent_or_diacritic_restore
finde,fin_de_semana,2,2,1.0,1.0,whitespace_change
graciias,gracias,2,2,1.0,1.0,other_substitution
lio,lío,2,2,1.0,1.0,accent_or_diacritic_restore
esquivocao,he_equivocado,1,1,1.0,1.0,whitespace_change
piolin,piolín,1,1,1.0,1.0,accent_or_diacritic_restore
jajajajajajajajajjajajajajajaja,ja,1,1,1.0,1.0,shortening_or_deletion
meoooo,meo,1,1,1.0,1.0,repeated_char_reduction
máx.,máxima,1,1,1.0,1.0,expansion_or_abbreviation_restore
mín.,mínima,1,1,1.0,1.0,expansion_or_abbreviation_restore
pasao,pasado,1,1,1.0,1.0,other_substitution
porai,por_ahí,1,1,1.0,1.0,whitespace_change
rapidas,rápidas,1,1,1.0,1.0,accent_or_diacritic_restore
mooovil,móvil,1,1,1.0,1.0,repeated_char_reduction
caasi,casi,1,1,1.0,1.0,other_substitution
bateriaa,batería,1,1,1.0,1.0,other_substitution
adioos,adiós,1,1,1.0,1.0,other_substitution
twitteer,twitter,1,1,1.0,1.0,other_substitution
biebeer's,bieber,1,1,1.0,1.0,punctuation_or_symbol_change
tds,todos,1,1,1.0,1.0,expansion_or_abbreviation_restore
compi,compañero,1,1,1.0,1.0,expansion_or_abbreviation_restore
qiero,quiero,1,1,1.0,1.0,other_substitution
esqe,es_que,1,1,1.0,1.0,whitespace_change
qe,qué,1,6,0.1667,0.1667,other_substitution
sepaaas,sepas,1,1,1.0,1.0,repeated_char_reduction
romeria,romería,1,1,1.0,1.0,accent_or_diacritic_restore
jaajja,ja,1,1,1.0,1.0,shortening_or_deletion
mio,mío,1,1,1.0,1.0,accent_or_diacritic_restore
culpaa,culpa,1,1,1.0,1.0,other_substitution
claseee,clase,1,1,1.0,1.0,repeated_char_reduction
pokitin,poquitín,1,1,1.0,1.0,other_substitution
claseeeesss,clases,1,1,1.0,1.0,repeated_char_reduction
maricon,maricón,1,1,1.0,1.0,accent_or_diacritic_restore
coñooo,coño,1,1,1.0,1.0,repeated_char_reduction
jajajpero,ja_pero,1,1,1.0,1.0,whitespace_change
llamda,llamada,1,1,1.0,1.0,other_substitution
qur,que,1,1,1.0,1.0,other_substitution
diiiiiiioooooooo,dios,1,1,1.0,1.0,repeated_char_reduction
jajjajajajajajajajajajajajajajajajajajajajajaja,ja,1,1,1.0,1.0,shortening_or_deletion
pais,país,1,1,1.0,1.0,accent_or_diacritic_restore
egocentrico,egocéntrico,1,1,1.0,1.0,accent_or_diacritic_restore
pnsao,pensado,1,1,1.0,1.0,expansion_or_abbreviation_restore
part,parte,1,1,1.0,1.0,other_substitution
amig@s,amigos,1,1,1.0,1.0,punctuation_or_symbol_change
tb,también,1,1,1.0,1.0,expansion_or_abbreviation_restore
primoo,primo,1,1,1.0,1.0,other_substitution
ajajajjaja,ja,1,1,1.0,1.0,shortening_or_deletion
partoo,parto,1,1,1.0,1.0,other_substitution
ker,qué_es,1,1,1.0,1.0,whitespace_change
aseh,haces,1,1,1.0,1.0,other_substitution
tssss,chis,1,1,1.0,1.0,repeated_char_reduction
dspue,después,1,1,1.0,1.0,expansion_or_abbreviation_restore
asinque,así_que,1,1,1.0,1.0,whitespace_change
soi,soy,1,1,1.0,1.0,other_substitution
faltao,faltado,1,1,1.0,1.0,other_substitution
graciiaaaaa,gracia,1,1,1.0,1.0,repeated_char_reduction
boooonico,bonico,1,1,1.0,1.0,repeated_char_reduction
ahi,ahí,1,1,1.0,1.0,accent_or_diacritic_restore
nenee,nene,1,1,1.0,1.0,other_substitution
ooogggg,oh,1,1,1.0,1.0,repeated_char_reduction
lîa,lía,1,1,1.0,1.0,accent_or_diacritic_restore
pelicula,película,1,1,1.0,1.0,accent_or_diacritic_restore
ns,nos,1,1,1.0,1.0,other_substitution
jajajajajjajaj,ja,1,1,1.0,1.0,shortening_or_deletion
tenho,tengo,1,1,1.0,1.0,other_substitution
juum,hum,1,1,1.0,1.0,other_substitution
firefoxos,firefox_os,1,1,1.0,1.0,whitespace_change
putooo,puto,1,1,1.0,1.0,repeated_char_reduction
ascoo,asco,1,1,1.0,1.0,other_substitution
entierrro,entierro,1,1,1.0,1.0,repeated_char_reduction
danes,danés,1,1,1.0,1.0,accent_or_diacritic_restore
artando,hartando,1,1,1.0,1.0,other_substitution
jilipollas,gilipollas,1,1,1.0,1.0,other_substitution
estaras,estarás,1,1,1.0,1.0,accent_or_diacritic_restore
nosotrs,nosotros,1,1,1.0,1.0,other_substitution
rl,el,1,1,1.0,1.0,other_substitution
huuuuyy,uy,1,1,1.0,1.0,repeated_char_reduction
jajaaa,ja,1,1,1.0,1.0,repeated_char_reduction
ija,hija,1,1,1.0,1.0,other_substitution
senti,sentí,1,1,1.0,1.0,accent_or_diacritic_restore
cosaas,cosas,1,1,1.0,1.0,other_substitution
semama,semana,1,1,1.0,1.0,other_substitution
asin,asín,1,1,1.0,1.0,accent_or_diacritic_restore
ps,pues,1,1,1.0,1.0,expansion_or_abbreviation_restore
joe,joder,1,1,1.0,1.0,expansion_or_abbreviation_restore
pechá,pechada,1,1,1.0,1.0,expansion_or_abbreviation_restore
dormistes,dormiste,1,1,1.0,1.0,other_substitution
largittaa,larguita,1,1,1.0,1.0,other_substitution
dibujiito,dibujito,1,1,1.0,1.0,other_substitution
nbeeeaaa,no_veas,1,1,1.0,1.0,whitespace_change
ojiyo,ojillo,1,1,1.0,1.0,other_substitution
hermaanito,hermanito,1,1,1.0,1.0,other_substitution
abandonaa,abandonada,1,1,1.0,1.0,other_substitution
trompezar,tropezar,1,1,1.0,1.0,other_substitution
exoo,echo,1,1,1.0,1.0,other_substitution
maazooo,mazo,1,1,1.0,1.0,repeated_char_reduction
menooss,menos,1,1,1.0,1.0,other_substitution
puuff,puf,1,1,1.0,1.0,other_substitution
aki,aquí,1,1,1.0,1.0,other_substitution
cola-cao,cola_cao,1,1,1.0,1.0,whitespace_change
haria,haría,1,1,1.0,1.0,accent_or_diacritic_restore
quereis,queréis,1,1,1.0,1.0,accent_or_diacritic_restore
tranquileo,tranquilidad,1,1,1.0,1.0,expansion_or_abbreviation_restore
queria,quería,1,1,1.0,1.0,accent_or_diacritic_restore
alegradp,alegrado,1,1,1.0,1.0,other_substitution
tii,ti,1,1,1.0,1.0,other_substitution
kedan,quedan,1,1,1.0,1.0,other_substitution
asik,así_que,1,1,1.0,1.0,whitespace_change
ktal,qué_tal,1,1,1.0,1.0,whitespace_change
vosotrs,vosotros,1,1,1.0,1.0,other_substitution
besitoo,besito,1,1,1.0,1.0,other_substitution
jajajajajaajaja,ja,1,1,1.0,1.0,shortening_or_deletion
pueblooo,pueblo,1,1,1.0,1.0,repeated_char_reduction
guapaaa,guapa,1,1,1.0,1.0,repeated_char_reduction
pr,para,1,1,1.0,1.0,expansion_or_abbreviation_restore
nooo,no,1,1,1.0,1.0,repeated_char_reduction
retwitear,retwittear,1,1,1.0,1.0,other_substitution
bueh,bah,1,1,1.0,1.0,other_substitution
ptos,puntos,1,1,1.0,1.0,expansion_or_abbreviation_restore
rbts,rebotes,1,1,1.0,1.0,expansion_or_abbreviation_restore
alomejor,a_lo_mejor,1,1,1.0,1.0,whitespace_change
pillao,pillado,1,1,1.0,1.0,other_substitution
chaparron,chaparrón,1,1,1.0,1.0,accent_or_diacritic_restore
jajajajaaja,ja,1,1,1.0,1.0,shortening_or_deletion
pasaa,pasa,1,1,1.0,1.0,other_substitution
akabo,acabo,1,1,1.0,1.0,other_substitution
mobil,móvil,1,1,1.0,1.0,other_substitution
em,eh,1,1,1.0,1.0,other_substitution
vereis,veréis,1,1,1.0,1.0,accent_or_diacritic_restore
gravais,grabáis,1,1,1.0,1.0,other_substitution
jodais,jodáis,1,1,1.0,1.0,accent_or_diacritic_restore
po,por,1,1,1.0,1.0,other_substitution
teneis,tenéis,1,1,1.0,1.0,accent_or_diacritic_restore
señooooor,señor,1,1,1.0,1.0,repeated_char_reduction
iraaaaaaa,ira,1,1,1.0,1.0,repeated_char_reduction
jejej,je,1,1,1.0,1.0,shortening_or_deletion
zodiac,zódiac,1,1,1.0,1.0,accent_or_diacritic_restore
imbeciles,imbéciles,1,1,1.0,1.0,accent_or_diacritic_restore
seguiras,seguirás,1,1,1.0,1.0,accent_or_diacritic_restore
na,nada,1,1,1.0,1.0,expansion_or_abbreviation_restore
acer,hacer,1,1,1.0,1.0,other_substitution
nadiee,nadie,1,1,1.0,1.0,other_substitution
buenn,buen,1,1,1.0,1.0,other_substitution
pien,pie,1,1,1.0,1.0,other_substitution
iker,íker,1,1,1.0,1.0,accent_or_diacritic_restore
tonnnntica,tontica,1,1,1.0,1.0,repeated_char_reduction
leido,leído,1,1,1.0,1.0,accent_or_diacritic_restore
seguime,seguirme,1,1,1.0,1.0,other_substitution
esk,es_que,1,1,1.0,1.0,whitespace_change
empiieza,empieza,1,1,1.0,1.0,other_substitution
kn,con,1,1,1.0,1.0,other_substitution
piie,pie,1,1,1.0,1.0,other_substitution
diiios,dios,1,1,1.0,1.0,repeated_char_reduction
mioo,mío,1,1,1.0,1.0,other_substitution
sentao,sentado,1,1,1.0,1.0,other_substitution
tequieromucho,te_quiero_mucho,1,1,1.0,1.0,whitespace_change
vo,voy,1,1,1.0,1.0,other_substitution
fono,teléfono,1,1,1.0,1.0,expansion_or_abbreviation_restore
qedar,quedar,1,1,1.0,1.0,other_substitution
coxinooooo,cochino,1,1,1.0,1.0,repeated_char_reduction
antoniojajaj,antonio_ja,1,1,1.0,1.0,whitespace_change
cnoces,conoces,1,1,1.0,1.0,other_substitution
colegui,colega,1,1,1.0,1.0,other_substitution
icon,icono,1,1,1.0,1.0,other_substitution
fuando,cuando,1,1,1.0,1.0,other_substitution
xaaanadu,xanadú,1,1,1.0,1.0,repeated_char_reduction
ninia,niña,1,1,1.0,1.0,other_substitution
muaxh,mua,1,1,1.0,1.0,other_substitution
ajajajajajaa,ja,1,1,1.0,1.0,shortening_or_deletion
wapita,guapita,1,1,1.0,1.0,other_substitution
mñana,mañana,1,1,1.0,1.0,other_substitution
cesped,césped,1,1,1.0,1.0,accent_or_diacritic_restore
pense,pensé,1,1,1.0,1.0,accent_or_diacritic_restore
pufff,puf,1,1,1.0,1.0,repeated_char_reduction
pùrpura,púrpura,1,1,1.0,1.0,accent_or_diacritic_restore
noooo,no,1,1,1.0,1.0,repeated_char_reduction
priiimito,primito,1,1,1.0,1.0,repeated_char_reduction
idolo,ídolo,1,1,1.0,1.0,accent_or_diacritic_restore
diita,diíta,1,1,1.0,1.0,accent_or_diacritic_restore
arrepieento,arrepiento,1,1,1.0,1.0,other_substitution
ultimamente,últimamente,1,1,1.0,1.0,accent_or_diacritic_restore
buuueno,bueno,1,1,1.0,1.0,repeated_char_reduction
puuues,pues,1,1,1.0,1.0,repeated_char_reduction
roomeeriiia,romería,1,1,1.0,1.0,repeated_char_reduction
otraa,otra,1,1,1.0,1.0,other_substitution
niññño,niño,1,1,1.0,1.0,repeated_char_reduction
pa,la,1,12,0.1,0.0833,other_substitution
ayayayayyay,ay,1,1,1.0,1.0,shortening_or_deletion
jijiji,ji,1,1,1.0,1.0,shortening_or_deletion
envie,envíe,1,1,1.0,1.0,accent_or_diacritic_restore
alegria,alegría,1,1,1.0,1.0,accent_or_diacritic_restore
diaaa,día,1,1,1.0,1.0,repeated_char_reduction
perfectooo,perfecto,1,1,1.0,1.0,repeated_char_reduction
finnnn,fin,1,1,1.0,1.0,repeated_char_reduction
podremosss,podremos,1,1,1.0,1.0,repeated_char_reduction
vidaaa,vida,1,1,1.0,1.0,repeated_char_reduction
yoppp,yo,1,1,1.0,1.0,repeated_char_reduction
nochess,noches,1,1,1.0,1.0,other_substitution
pequeñooo,pequeño,1,1,1.0,1.0,repeated_char_reduction
muacks,mua,1,1,1.0,1.0,shortening_or_deletion
teamo,te_amo,1,1,1.0,1.0,whitespace_change
pedrin,pedrín,1,1,1.0,1.0,accent_or_diacritic_restore
sageraaaá,exagerada,1,1,1.0,1.0,other_substitution
jajajajajajajjaaj,ja,1,1,1.0,1.0,shortening_or_deletion
kee,qué,1,1,1.0,1.0,other_substitution
echoo,hecho,1,1,1.0,1.0,other_substitution
polvooooo,polvo,1,1,1.0,1.0,repeated_char_reduction
dejeis,dejéis,1,1,1.0,1.0,accent_or_diacritic_restore
duxita,duchita,1,1,1.0,1.0,other_substitution
sandungero,sandunguero,1,1,1.0,1.0,other_substitution
habras,habrás,1,1,1.0,1.0,accent_or_diacritic_restore
fyqqqq,fin,1,1,1.0,1.0,repeated_char_reduction
pppff,puf,1,1,1.0,1.0,repeated_char_reduction
rubiaa,rubia,1,1,1.0,1.0,other_substitution
asiquee,así_que,1,1,1.0,1.0,whitespace_change
tocaa,toca,1,1,1.0,1.0,other_substitution
hooy,hoy,1,1,1.0,1.0,other_substitution
bueenoo,bueno,1,1,1.0,1.0,other_substitution
yoo,yo,1,1,1.0,1.0,other_substitution
vooy,voy,1,1,1.0,1.0,other_substitution
dormiir,dormir,1,1,1.0,1.0,other_substitution
mañanaa,mañana,1,1,1.0,1.0,other_substitution
esperaa,espera,1,1,1.0,1.0,other_substitution
diiia,día,1,1,1.0,1.0,repeated_char_reduction
conver,conversación,1,1,1.0,1.0,expansion_or_abbreviation_restore
tq,te_quiero,1,1,1.0,1.0,whitespace_change
inviyado,invitado,1,1,1.0,1.0,other_substitution
ati,a_ti,1,1,1.0,1.0,whitespace_change
tube,tuve,1,1,1.0,1.0,other_substitution
mñn,mañana,1,1,1.0,1.0,expansion_or_abbreviation_restore
siii,si,1,4,0.25,0.25,repeated_char_reduction
encendioo,encendido,1,1,1.0,1.0,other_substitution
seño,señor,1,1,1.0,1.0,other_substitution
ire,iré,1,1,1.0,1.0,accent_or_diacritic_restore
todavia,todavía,1,1,1.0,1.0,accent_or_diacritic_restore
alfin,al_fin,1,1,1.0,1.0,whitespace_change
merecias,merecías,1,1,1.0,1.0,accent_or_diacritic_restore
wpp,whatsapp,1,1,1.0,1.0,expansion_or_abbreviation_restore
pesadosss,pesados,1,1,1.0,1.0,repeated_char_reduction
eza,esa,1,1,1.0,1.0,other_substitution
cuehtion,cuestión,1,1,1.0,1.0,other_substitution
amoss,vamos,1,1,1.0,1.0,other_substitution
unaaaaaaaaaaa,una,1,1,1.0,1.0,repeated_char_reduction
preparao,preparado,1,1,1.0,1.0,other_substitution
puebli,pueblo,1,1,1.0,1.0,other_substitution
jajjajjajja,ja,1,1,1.0,1.0,shortening_or_deletion
dioa,dios,1,1,1.0,1.0,other_substitution
sintio,sintió,1,1,1.0,1.0,accent_or_diacritic_restore
buenaaas,buenas,1,1,1.0,1.0,repeated_char_reduction
ncheees,noches,1,1,1.0,1.0,repeated_char_reduction
relaax,relax,1,1,1.0,1.0,other_substitution
matematicas,matemáticas,1,1,1.0,1.0,accent_or_diacritic_restore
